24FC	DOUBLE CIRCLED DIGIT EIGHT
24FD	DOUBLE CIRCLED DIGIT NINE
24FE	DOUBLE CIRCLED NUMBER TEN
24FF	NEGATIVE CIRCLED DIGIT ZERO
2776	DINGBAT NEGATIVE CIRCLED DIGIT ONE
2777	DINGBAT NEGATIVE CIRCLED DIGIT TWO
2778	DINGBAT NEGATIVE CIRCLED DIGIT THREE
2779	DINGBAT NEGATIVE CIRCLED DIGIT FOUR
277A	DINGBAT NEGATIVE CIRCLED DIGIT FIVE
277B	DINGBAT NEGATIVE CIRCLED DIGIT SIX
277C	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
277D	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
277E	DINGBAT NEGATIVE CIRCLED DIGIT NINE
277F	DINGBAT NEGATIVE CIRCLED NUMBER TEN
2780	DINGBAT CIRCLED SANS-SERIF DIGIT ONE
2781	DINGBAT CIRCLED SANS-SERIF DIGIT TWO
2782	DINGBAT CIRCLED SANS-SERIF DIGIT THREE
2783	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
2784	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
2785	DINGBAT CIRCLED SANS-SERIF DIGIT SIX
2786	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
2787	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
2788	DINGBAT CIRCLED SANS-SERIF DIGIT NINE
2789	DINGBAT CIRCLED SANS-SERIF NUMBER TEN
278A	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
278B	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
278C	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
278D	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
278E	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
278F	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
2790	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
2791	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
2792	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
2793	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
3007	IDEOGRAPHIC NUMBER ZERO
3021	HANGZHOU NUMERAL ONE
3022	HANGZHOU NUMERAL TWO
3023	HANGZHOU NUMERAL THREE
3024	HANGZHOU NUMERAL FOUR
3025	HANGZHOU NUMERAL FIVE
3026	HANGZHOU NUMERAL SIX
3027	HANGZHOU NUMERAL SEVEN
3028	HANGZHOU NUMERAL EIGHT
3029	HANGZHOU NUMERAL NINE
3038	HANGZHOU NUMERAL TEN
3039	HANGZHOU NUMERAL TWENTY
303A	HANGZHOU NUMERAL THIRTY
3248	CIRCLED NUMBER TEN ON BLACK SQUARE
3249	CIRCLED NUMBER TWENTY ON BLACK SQUARE
324A	CIRCLED NUMBER THIRTY ON BLACK SQUARE
324B	CIRCLED NUMBER FORTY ON BLACK SQUARE
324C	CIRCLED NUMBER FIFTY ON BLACK SQUARE
324D	CIRCLED NUMBER SIXTY ON BLACK SQUARE
324E	CIRCLED NUMBER SEVENTY ON BLACK SQUARE
324F	CIRCLED NUMBER EIGHTY ON BLACK SQUARE
3251	CIRCLED NUMBER TWENTY ONE
3252	CIRCLED NUMBER TWENTY TWO
3253	CIRCLED NUMBER TWENTY THREE
3254	CIRCLED NUMBER TWENTY FOUR
3255	CIRCLED NUMBER TWENTY FIVE
3256	CIRCLED NUMBER TWENTY SIX
3257	CIRCLED NUMBER TWENTY SEVEN
3258	CIRCLED NUMBER TWENTY EIGHT
3259	CIRCLED NUMBER TWENTY NINE
325A	CIRCLED NUMBER THIRTY
325B	CIRCLED NUMBER THIRTY ONE
325C	CIRCLED NUMBER THIRTY TWO
325D	CIRCLED NUMBER THIRTY THREE
325E	CIRCLED NUMBER THIRTY FOUR
325F	CIRCLED NUMBER THIRTY FIVE
32B1	CIRCLED NUMBER THIRTY SIX
32B2	CIRCLED NUMBER THIRTY SEVEN
32B3	CIRCLED NUMBER THIRTY EIGHT
32B4	CIRCLED NUMBER THIRTY NINE
32B5	CIRCLED NUMBER FORTY
32B6	CIRCLED NUMBER FORTY ONE
32B7	CIRCLED NUMBER FORTY TWO
32B8	CIRCLED NUMBER FORTY THREE
32B9	CIRCLED NUMBER FORTY FOUR
32BA	CIRCLED NUMBER FORTY FIVE
32BB	CIRCLED NUMBER FORTY SIX
32BC	CIRCLED NUMBER FORTY SEVEN
32BD	CIRCLED NUMBER FORTY EIGHT
32BE	CIRCLED NUMBER FORTY NINE
32BF	CIRCLED NUMBER FIFTY
A620	VAI DIGIT ZERO
A621	VAI DIGIT ONE
A622	VAI DIGIT TWO
A623	VAI DIGIT THREE
A624	VAI DIGIT FOUR
A625	VAI DIGIT FIVE
A626	VAI DIGIT SIX
A627	VAI DIGIT SEVEN
A628	VAI DIGIT EIGHT
A629	VAI DIGIT NINE
A8D0	SAURASHTRA DIGIT ZERO
